code,code_description,code_type,ccs
0210083,"Bypass Coronary Artery, One Artery from Coronary Artery with Zooplastic Tissue, Open Approach",ICD10_PROC,ccs44
0210088,"Bypass Coronary Artery, One Artery from Right Internal Mammary with Zooplastic Tissue, Open Approach",ICD10_PROC,ccs44
0210089,"Bypass Coronary Artery, One Artery from Left Internal Mammary with Zooplastic Tissue, Open Approach",ICD10_PROC,ccs44
021008C,"Bypass Coronary Artery, One Artery from Thoracic Artery with Zooplastic Tissue, Open Approach",ICD10_PROC,ccs44
021008F,"Bypass Coronary Artery, One Artery from Abdominal Artery with Zooplastic Tissue, Open Approach",ICD10_PROC,ccs44
021008W,"Bypass Coronary Artery, One Artery from Aorta with Zooplastic Tissue, Open Approach",ICD10_PROC,ccs44
0210093,"Bypass Coronary Artery, One Artery from Coronary Artery with Autologous Venous Tissue, Open Approach",ICD10_PROC,ccs44
0210098,"Bypass Coronary Artery, One Artery from Right Internal Mammary with Autologous Venous Tissue, Open Approach",ICD10_PROC,ccs44
0210099,"Bypass Coronary Artery, One Artery from Left Internal Mammary with Autologous Venous Tissue, Open Approach",ICD10_PROC,ccs44
021009C,"Bypass Coronary Artery, One Artery from Thoracic Artery with Autologous Venous Tissue, Open Approach",ICD10_PROC,ccs44
021009F,"Bypass Coronary Artery, One Artery from Abdominal Artery with Autologous Venous Tissue, Open Approach",ICD10_PROC,ccs44
021009W,"Bypass Coronary Artery, One Artery from Aorta with Autologous Venous Tissue, Open Approach",ICD10_PROC,ccs44
02100A3,"Bypass Coronary Artery, One Artery from Coronary Artery with Autologous Arterial Tissue, Open Approach",ICD10_PROC,ccs44
02100A8,"Bypass Coronary Artery, One Artery from Right Internal Mammary with Autologous Arterial Tissue, Open Approach",ICD10_PROC,ccs44
02100A9,"Bypass Coronary Artery, One Artery from Left Internal Mammary with Autologous Arterial Tissue, Open Approach",ICD10_PROC,ccs44
02100AC,"Bypass Coronary Artery, One Artery from Thoracic Artery with Autologous Arterial Tissue, Open Approach",ICD10_PROC,ccs44
02100AF,"Bypass Coronary Artery, One Artery from Abdominal Artery with Autologous Arterial Tissue, Open Approach",ICD10_PROC,ccs44
02100AW,"Bypass Coronary Artery, One Artery from Aorta with Autologous Arterial Tissue, Open Approach",ICD10_PROC,ccs44
02100J3,"Bypass Coronary Artery, One Artery from Coronary Artery with Synthetic Substitute, Open Approach",ICD10_PROC,ccs44
02100J8,"Bypass Coronary Artery, One Artery from Right Internal Mammary with Synthetic Substitute, Open Approach",ICD10_PROC,ccs44
02100J9,"Bypass Coronary Artery, One Artery from Left Internal Mammary with Synthetic Substitute, Open Approach",ICD10_PROC,ccs44
02100JC,"Bypass Coronary Artery, One Artery from Thoracic Artery with Synthetic Substitute, Open Approach",ICD10_PROC,ccs44
02100JF,"Bypass Coronary Artery, One Artery from Abdominal Artery with Synthetic Substitute, Open Approach",ICD10_PROC,ccs44
02100JW,"Bypass Coronary Artery, One Artery from Aorta with Synthetic Substitute, Open Approach",ICD10_PROC,ccs44
02100K3,"Bypass Coronary Artery, One Artery from Coronary Artery with Nonautologous Tissue Substitute, Open Approach",ICD10_PROC,ccs44
02100K8,"Bypass Coronary Artery, One Artery from Right Internal Mammary with Nonautologous Tissue Substitute, Open Approach",ICD10_PROC,ccs44
02100K9,"Bypass Coronary Artery, One Artery from Left Internal Mammary with Nonautologous Tissue Substitute, Open Approach",ICD10_PROC,ccs44
02100KC,"Bypass Coronary Artery, One Artery from Thoracic Artery with Nonautologous Tissue Substitute, Open Approach",ICD10_PROC,ccs44
02100KF,"Bypass Coronary Artery, One Artery from Abdominal Artery with Nonautologous Tissue Substitute, Open Approach",ICD10_PROC,ccs44
02100KW,"Bypass Coronary Artery, One Artery from Aorta with Nonautologous Tissue Substitute, Open Approach",ICD10_PROC,ccs44
02100Z3,"Bypass Coronary Artery, One Artery from Coronary Artery, Open Approach",ICD10_PROC,ccs44
02100Z8,"Bypass Coronary Artery, One Artery from Right Internal Mammary, Open Approach",ICD10_PROC,ccs44
02100Z9,"Bypass Coronary Artery, One Artery from Left Internal Mammary, Open Approach",ICD10_PROC,ccs44
02100ZC,"Bypass Coronary Artery, One Artery from Thoracic Artery, Open Approach",ICD10_PROC,ccs44
02100ZF,"Bypass Coronary Artery, One Artery from Abdominal Artery, Open Approach",ICD10_PROC,ccs44
0210344,"Bypass Coronary Artery, One Artery from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Approach",ICD10_PROC,ccs44
02103D4,"Bypass Coronary Artery, One Artery from Coronary Vein with Intraluminal Device, Percutaneous Approach",ICD10_PROC,ccs44
0210444,"Bypass Coronary Artery, One Artery from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
0210483,"Bypass Coronary Artery, One Artery from Coronary Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
0210488,"Bypass Coronary Artery, One Artery from Right Internal Mammary with Zooplastic Tissue, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
0210489,"Bypass Coronary Artery, One Artery from Left Internal Mammary with Zooplastic Tissue, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
021048C,"Bypass Coronary Artery, One Artery from Thoracic Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
021048F,"Bypass Coronary Artery, One Artery from Abdominal Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
021048W,"Bypass Coronary Artery, One Artery from Aorta with Zooplastic Tissue, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
0210493,"Bypass Coronary Artery, One Artery from Coronary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
0210498,"Bypass Coronary Artery, One Artery from Right Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
0210499,"Bypass Coronary Artery, One Artery from Left Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
021049C,"Bypass Coronary Artery, One Artery from Thoracic Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
021049F,"Bypass Coronary Artery, One Artery from Abdominal Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
021049W,"Bypass Coronary Artery, One Artery from Aorta with Autologous Venous Tissue, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
02104A3,"Bypass Coronary Artery, One Artery from Coronary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
02104A8,"Bypass Coronary Artery, One Artery from Right Internal Mammary with Autologous Arterial Tissue, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
02104A9,"Bypass Coronary Artery, One Artery from Left Internal Mammary with Autologous Arterial Tissue, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
02104AC,"Bypass Coronary Artery, One Artery from Thoracic Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
02104AF,"Bypass Coronary Artery, One Artery from Abdominal Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
02104AW,"Bypass Coronary Artery, One Artery from Aorta with Autologous Arterial Tissue, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
02104D4,"Bypass Coronary Artery, One Artery from Coronary Vein with Intraluminal Device, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
02104J3,"Bypass Coronary Artery, One Artery from Coronary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
02104J8,"Bypass Coronary Artery, One Artery from Right Internal Mammary with Synthetic Substitute, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
02104J9,"Bypass Coronary Artery, One Artery from Left Internal Mammary with Synthetic Substitute, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
02104JC,"Bypass Coronary Artery, One Artery from Thoracic Artery with Synthetic Substitute, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
02104JF,"Bypass Coronary Artery, One Artery from Abdominal Artery with Synthetic Substitute, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
02104JW,"Bypass Coronary Artery, One Artery from Aorta with Synthetic Substitute, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
02104K3,"Bypass Coronary Artery, One Artery from Coronary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
02104K8,"Bypass Coronary Artery, One Artery from Right Internal Mammary with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
02104K9,"Bypass Coronary Artery, One Artery from Left Internal Mammary with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
02104KC,"Bypass Coronary Artery, One Artery from Thoracic Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
02104KF,"Bypass Coronary Artery, One Artery from Abdominal Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
02104KW,"Bypass Coronary Artery, One Artery from Aorta with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
02104Z3,"Bypass Coronary Artery, One Artery from Coronary Artery, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
02104Z8,"Bypass Coronary Artery, One Artery from Right Internal Mammary, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
02104Z9,"Bypass Coronary Artery, One Artery from Left Internal Mammary, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
02104ZC,"Bypass Coronary Artery, One Artery from Thoracic Artery, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
02104ZF,"Bypass Coronary Artery, One Artery from Abdominal Artery, Percutaneous Endoscopic Approach",ICD10_PROC,ccs44
0211083,"Bypass Coronary Artery, Two Arteries from Coronary Artery with Zooplastic Tissue, Open Approach",ICD10_PROC,ccs44
0211088,"Bypass Coronary Artery, Two Arteries from Right Internal Mammary with Zooplastic Tissue, Open Approach",ICD10_PROC,ccs44
0211089,"Bypass Coronary Artery, Two Arteries from Left Internal Mammary with Zooplastic Tissue, Open Approach",ICD10_PROC,ccs44
021108C,"Bypass Coronary Artery, Two Arteries from Thoracic Artery with Zooplastic Tissue, Open Approach",ICD10_PROC,ccs44
021108F,"Bypass Coronary Artery, Two Arteries from Abdominal Artery with Zooplastic Tissue, Open Approach",ICD10_PROC,ccs44
021108W,"Bypass Coronary Artery, Two Arteries from Aorta with Zooplastic Tissue, Open Approach",ICD10_PROC,ccs44
0211093,"Bypass Coronary Artery, Two Arteries from Coronary Artery with Autologous Venous Tissue, Open Approach",ICD10_PROC,ccs44
0211098,"Bypass Coronary Artery, Two Arteries from Right Internal Mammary with Autologous Venous Tissue, Open Approach",ICD10_PROC,ccs44
